QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
288,440,5960,20026263,19644000,18595585.79,762450.1809,3535837.577,160
289,356,3944,20026263,19646750,19214201.93,758676.3423,3553425.683,16
290,5,258679,20026263,19649250,19114317.26,758139.891,3555940.048,112
291,64,38078,20026263,19652000,19489562.16,759748.1071,3548412.921,176
292,84,20941,20026263,19654500,19845792.36,756524.8519,3563531.315,32
293,4,431691,20026263,19657250,19358316.68,762944.0128,3533548.93,320
294,703,12272,20026263,19659750,19089623.25,765101.8887,3523582.989,192
295,11,185594,20026263,19662250,19257899.68,761314.9251,3541110.139,16
296,16,157617,20026263,19664750,18827915.35,764544.8276,3526150.335,224
297,2,825187,20026263,19667250,18414338.35,770491.4375,3498935.704,304
298,575,9200,20026263,19669750,18318178.61,774305.0773,3481702.599,240
299,7,209804,20026263,19672250,18192083.66,773210.0728,3486633.316,96
300,779,14096,20026263,19674750,18187290.98,771569.8888,3494045.114,80
301,948,18152,20026263,19677250,18243246.67,768296.4793,3508931.868,32
302,1,892220,20026263,19679500,18361505.78,769382.9866,3503976.624,160
303,981,18944,20026263,19682000,18419690.71,766662.8771,3516408.686,48
304,3,800279,20026263,19684250,18604635.38,763952.3843,3528884.856,48
305,0,1911538,20026263,19686750,17900289.84,772595.2962,3489407.732,384
306,735,13040,20026263,19689000,18253437.08,773687.8828,3484480.06,160
307,470,6680,20026263,19691250,18218671.23,772046.6852,3491887.28,80
308,0,1911538,20026263,19693750,18183878.57,778051.6444,3464937.089,304
309,441,5984,20026263,19696000,17620773.19,785753.7643,3430973.064,352
310,815,14960,20026263,19698250,17360466.76,793532.1293,3397341.961,352
311,941,17984,20026263,19700500,17379168.09,790726.6418,3409395.684,48
312,545,8480,20026263,19702750,17178267.1,792403.9831,3402178.759,176
313,44,83613,20026263,19704750,17007158.67,794084.8825,3394977.111,176
314,3,800279,20026263,19707000,17376991.45,790154.4641,3411864.543,16
315,76,24555,20026263,19709250,17230491.11,792389.3009,3402241.798,192
316,3,800279,20026263,19711250,17275832.63,789027.5644,3416737.414,32
317,0,1911538,20026263,19713250,17239158.73,785680.0902,3431294.79,32
318,552,8648,20026263,19715500,17040167.45,787902.2718,3421617.244,192
319,24,128423,20026263,19717500,16896938.71,792359.2053,3402371.023,256
320,3,800279,20026263,19719500,16991850.49,792359.2053,3402371.023,128
321,715,12560,20026263,19721500,16616101.78,796281.0822,3385613.523,240
322,86,19438,20026263,19723500,16229455.22,800785.4122,3366569.819,256
323,46,81444,20026263,19725500,15998528.36,805315.2219,3347633.233,256
324,6,223571,20026263,19727250,16572239.68,801329.2176,3364285.166,16
325,2,825187,20026263,19729250,16844382.89,797362.9425,3381019.93,16
326,897,16928,20026263,19731000,16348079.7,804692.4233,3350224.162,336
327,718,12632,20026263,19733000,16187014,804123.4345,3352594.744,112
328,0,1911538,20026263,19734750,16270470.03,802417.6751,3359721.606,80
329,0,1911538,20026263,19736500,16582811.4,800148.1536,3369251.042,64
330,4,431691,20026263,19738250,16519691.06,797319.2756,3381205.099,48
331,1,892220,20026263,19740000,16739099.8,795627.9496,3388392.78,80
